# THIS FILE SHOULD NEVER BE EDITED !!!!!!!!!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,name,symbol,nuclear_spin,abundance,nucleon,proton,neutron,group,period,block,serie,state,family,ionization_energy,configuration,url,equal,b_coherent,b_incoherent,b_incoherent2,xs_coherent,xs_incoherent,xs_scattering,xs_absorption,atomic_number,atomic_weight,vdw_radius,covalent_radius,atomic_radius,electronegativity,electroaffinity,charge,color,xray_asf_a1,xray_asf_a2,xray_asf_a3,xray_asf_a4,xray_asf_c,xray_asf_b1,xray_asf_b2,xray_asf_b3,xray_asf_b4
type,str,str,int,float,int,int,int,int,int,str,int,str,str,float,str,str,float,float,float,float,float,float,float,float,int,float,float,float,float,float,float,int,str,float,float,float,float,float,float,float,float,float
Si28,silicon,Si,0,92.23,28,14,14,14,3,p,5,solid,metalloid,1971.08106,[Ne] 3s2 3p2,http://en.wikipedia.org/wiki/Silicon,1,0.00004107,0,0,2.12E-010,0,2.12E-010,1.77E-011,14,27.97692653,0.21,0.12,0.146,1.9,335.9861778,0,1;1;1,6.2915,3.0353,1.9891,1.541,1.1407,0.024386,0.323337,0.006785,0.816937
Si29,silicon,Si,0.5,4.67,29,14,15,14,3,p,5,solid,metalloid,1971.08106,[Ne] 3s2 3p2,http://en.wikipedia.org/wiki/Silicon,1,0.000047,0.0000009,8.1E-013,2.78E-010,1.00E-013,2.78E-010,1.01E-011,14,28.97649472,0.21,0.12,0.146,1.9,335.9861778,0,1;1;1,6.2915,3.0353,1.9891,1.541,1.1407,0.024386,0.323337,0.006785,0.816937
Si30,silicon,Si,0,3.1,30,14,16,14,3,p,5,solid,metalloid,1971.08106,[Ne] 3s2 3p2,http://en.wikipedia.org/wiki/Silicon,1,0.0000458,0,0,2.64E-010,0,2.64E-010,1.07E-011,14,29.97377022,0.21,0.12,0.146,1.9,335.9861778,0,1;1;1,6.2915,3.0353,1.9891,1.541,1.1407,0.024386,0.323337,0.006785,0.816937
P,phosphorus,P,####,100,####,15,####,15,3,p,1,solid,non metal,2535.68406,[Ne] 3s2 3p3,http://en.wikipedia.org/wiki/Phosphorus,1,0.0000513,0.000002,4E-012,3.31E-010,5.00E-013,3.31E-010,1.72E-011,15,30.97376151,0.18,0.105,0.123,2.19,180.5037,0,1;1;1,6.4345,4.1791,1.78,1.4908,1.1149,0.019067,0.27157,0.00526,0.681645
P31,phosphorus,P,0.5,100,31,15,16,15,3,p,1,solid,non metal,2535.68406,[Ne] 3s2 3p3,http://en.wikipedia.org/wiki/Phosphorus,1,0.0000513,0.000002,4E-012,3.31E-010,5.00E-013,3.31E-010,1.72E-011,15,30.97376151,0.18,0.105,0.123,2.19,180.5037,0,1;1;1,6.4345,4.1791,1.78,1.4908,1.1149,0.019067,0.27157,0.00526,0.681645
S,sulfur,S,####,100,####,16,####,16,3,p,1,solid,non metal,2505.048,[Ne] 3s2 3p4,http://en.wikipedia.org/wiki/Sulfur,1,0.00002847,2.36E-006,5.5696E-012,1.02E-010,7.00E-013,1.03E-010,5.30E-011,16,32.065,0.18,0.102,0.109,2.58,502.2434812,0,255;255;0,6.9053,5.2034,1.4379,1.5863,0.8669,0.014679,0.222151,0.002536,0.56172
S32,sulfur,S,0,95.02,32,16,16,16,3,p,1,solid,non metal,2505.048,[Ne] 3s2 3p4,http://en.wikipedia.org/wiki/Sulfur,1,0.00002804,0,0,9.88E-011,0,9.88E-011,5.40E-011,16,31.97207069,0.18,0.102,0.109,2.58,502.2434812,0,1;1;1,6.9053,5.2034,1.4379,1.5863,0.8669,0.014679,0.222151,0.002536,0.56172
S33,sulfur,S,1.5,0.75,33,16,17,16,3,p,1,solid,non metal,2505.048,[Ne] 3s2 3p4,http://en.wikipedia.org/wiki/Sulfur,1,0.0000474,0.000015,2.25E-010,2.80E-010,3.00E-011,3.10E-010,5.40E-011,16,32.9714585,0.18,0.102,0.109,2.58,502.2434812,0,1;1;1,6.9053,5.2034,1.4379,1.5863,0.8669,0.014679,0.222151,0.002536,0.56172
S34,sulfur,S,0,4.21,34,16,18,16,3,p,1,solid,non metal,2505.048,[Ne] 3s2 3p4,http://en.wikipedia.org/wiki/Sulfur,1,0.0000348,0,0,1.52E-010,0,1.52E-010,2.27E-011,16,33.96786683,0.18,0.102,0.109,2.58,502.2434812,0,1;1;1,6.9053,5.2034,1.4379,1.5863,0.8669,0.014679,0.222151,0.002536,0.56172
S36,sulfur,S,0,0.02,36,16,20,16,3,p,1,solid,non metal,2505.048,[Ne] 3s2 3p4,http://en.wikipedia.org/wiki/Sulfur,1,0.00003,0,0,1.10E-010,0,1.10E-010,1.50E-011,16,35.96708088,0.18,0.102,0.109,2.58,502.2434812,0,1;1;1,6.9053,5.2034,1.4379,1.5863,0.8669,0.014679,0.222151,0.002536,0.56172
